StateAb,DivisionID,DivisionNm,FromCandidateID,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition,ToCandidateID,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercentage
NSW,113,Cowper,37556,ON,Pauline Hanson's One Nation,ASPIOTIS,Faye,1,36245,IND,Independent,HEISE,Caz,4,3512,38.82
NSW,113,Cowper,37556,ON,Pauline Hanson's One Nation,ASPIOTIS,Faye,1,36342,NP,The Nationals,CONAGHAN,Pat,3,5535,61.18
NSW,113,Cowper,36909,ALP,Labor,McMULLEN,Keith,2,36245,IND,Independent,HEISE,Caz,4,12055,77.44
NSW,113,Cowper,36909,ALP,Labor,McMULLEN,Keith,2,36342,NP,The Nationals,CONAGHAN,Pat,3,3511,22.56
NSW,113,Cowper,36662,LDP,Liberal Democrats,CHASELING,Simon,5,36245,IND,Independent,HEISE,Caz,4,1504,34.85
NSW,113,Cowper,36662,LDP,Liberal Democrats,CHASELING,Simon,5,36342,NP,The Nationals,CONAGHAN,Pat,3,2812,65.15
NSW,113,Cowper,36259,UAPP,United Australia Party,FAIRHALL,Joshua Stephen,6,36245,IND,Independent,HEISE,Caz,4,1381,51.65
NSW,113,Cowper,36259,UAPP,United Australia Party,FAIRHALL,Joshua Stephen,6,36342,NP,The Nationals,CONAGHAN,Pat,3,1293,48.35
NSW,113,Cowper,36322,GRN,The Greens,NOTT,Timothy,7,36245,IND,Independent,HEISE,Caz,4,5374,82.45
NSW,113,Cowper,36322,GRN,The Greens,NOTT,Timothy,7,36342,NP,The Nationals,CONAGHAN,Pat,3,1144,17.55
NSW,114,Cunningham,0,NA,NA,First Preferences,NA,0,36778,ALP,Labor,BYRNES,Alison,3,40783,61.6
NSW,114,Cunningham,0,NA,NA,First Preferences,NA,0,37020,LP,Liberal,UREN,Marcus,1,25418,38.4
NSW,114,Cunningham,36370,UAPP,United Australia Party,BRITTON,Ben,2,36778,ALP,Labor,BYRNES,Alison,3,2000,40.52
NSW,114,Cunningham,36370,UAPP,United Australia Party,BRITTON,Ben,2,37020,LP,Liberal,UREN,Marcus,1,2936,59.48
NSW,114,Cunningham,36644,CEC,Citizens Party,GARNAUT-MILLER,Alexis,4,36778,ALP,Labor,BYRNES,Alison,3,686,62.48
NSW,114,Cunningham,36644,CEC,Citizens Party,GARNAUT-MILLER,Alexis,4,37020,LP,Liberal,UREN,Marcus,1,412,37.52
NSW,114,Cunningham,36356,GRN,The Greens,GREEN,Dylan,5,36778,ALP,Labor,BYRNES,Alison,3,19577,88.94
NSW,114,Cunningham,36356,GRN,The Greens,GREEN,Dylan,5,37020,LP,Liberal,UREN,Marcus,1,2434,11.06
NSW,114,Cunningham,36669,LDP,Liberal Democrats,GLOVER,Michael,6,36778,ALP,Labor,BYRNES,Alison,3,592,26.82
NSW,114,Cunningham,36669,LDP,Liberal Democrats,GLOVER,Michael,6,37020,LP,Liberal,UREN,Marcus,1,1615,73.18
NSW,114,Cunningham,37517,ON,Pauline Hanson's One Nation,GROGAN,Thomas,7,36778,ALP,Labor,BYRNES,Alison,3,2145,41.11
NSW,114,Cunningham,37517,ON,Pauline Hanson's One Nation,GROGAN,Thomas,7,37020,LP,Liberal,UREN,Marcus,1,3073,58.89
NSW,115,Dobell,0,NA,NA,First Preferences,NA,0,36779,ALP,Labor,McBRIDE,Emma,7,43595,55.98
NSW,115,Dobell,0,NA,NA,First Preferences,NA,0,37015,LP,Liberal,FENELEY,Michael,3,34276,44.02
NSW,115,Dobell,36312,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",BARNES,Geoff,1,36779,ALP,Labor,McBRIDE,Emma,7,1233,55.99
NSW,115,Dobell,36312,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",BARNES,Geoff,1,37015,LP,Liberal,FENELEY,Michael,3,969,44.01
NSW,115,Dobell,36261,UAPP,United Australia Party,MACKIN,Dean James,2,36779,ALP,Labor,McBRIDE,Emma,7,1625,42.56
NSW,115,Dobell,36261,UAPP,United Australia Party,MACKIN,Dean James,2,37015,LP,Liberal,FENELEY,Michael,3,2193,57.44
NSW,115,Dobell,36336,GRN,The Greens,CONNOR,Cath,4,36779,ALP,Labor,McBRIDE,Emma,7,7400,85.06
NSW,115,Dobell,36336,GRN,The Greens,CONNOR,Cath,4,37015,LP,Liberal,FENELEY,Michael,3,1300,14.94
NSW,115,Dobell,37550,ON,Pauline Hanson's One Nation,STEVENSON,Martin,5,36779,ALP,Labor,McBRIDE,Emma,7,3123,41.18
NSW,115,Dobell,37550,ON,Pauline Hanson's One Nation,STEVENSON,Martin,5,37015,LP,Liberal,FENELEY,Michael,3,4460,58.82
NSW,115,Dobell,36663,LDP,Liberal Democrats,METHERELL,Eliot,6,36779,ALP,Labor,McBRIDE,Emma,7,515,33.38
NSW,115,Dobell,36663,LDP,Liberal Democrats,METHERELL,Eliot,6,37015,LP,Liberal,FENELEY,Michael,3,1028,66.62
NSW,117,Eden-Monaro,0,NA,NA,First Preferences,NA,0,36803,ALP,Labor,McBAIN,Kristy,3,43215,56.32
NSW,117,Eden-Monaro,0,NA,NA,First Preferences,NA,0,37193,LP,Liberal,NOCKLES,Jerry,6,33520,43.68
NSW,117,Eden-Monaro,37389,SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption,HOLGATE,James,1,36803,ALP,Labor,McBAIN,Kristy,3,1731,76.59
NSW,117,Eden-Monaro,37389,SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption,HOLGATE,James,1,37193,LP,Liberal,NOCKLES,Jerry,6,529,23.41
NSW,117,Eden-Monaro,36666,LDP,Liberal Democrats,HOLMES,Maxwell,2,36803,ALP,Labor,McBAIN,Kristy,3,754,28.72
NSW,117,Eden-Monaro,36666,LDP,Liberal Democrats,HOLMES,Maxwell,2,37193,LP,Liberal,NOCKLES,Jerry,6,1871,71.28
NSW,117,Eden-Monaro,37360,AUD,Australian Democrats,BUTLER,Greg,4,36803,ALP,Labor,McBAIN,Kristy,3,429,65.9
NSW,117,Eden-Monaro,37360,AUD,Australian Democrats,BUTLER,Greg,4,37193,LP,Liberal,NOCKLES,Jerry,6,222,34.1
NSW,117,Eden-Monaro,36744,UAPP,United Australia Party,GARNON,Darren Scott,5,36803,ALP,Labor,McBAIN,Kristy,3,996,38.82
NSW,117,Eden-Monaro,36744,UAPP,United Australia Party,GARNON,Darren Scott,5,37193,LP,Liberal,NOCKLES,Jerry,6,1570,61.18
NSW,117,Eden-Monaro,36297,GRN,The Greens,HARRIS,Vivian,7,36803,ALP,Labor,McBAIN,Kristy,3,8646,92.21
NSW,117,Eden-Monaro,36297,GRN,The Greens,HARRIS,Vivian,7,37193,LP,Liberal,NOCKLES,Jerry,6,730,7.79
NSW,117,Eden-Monaro,36403,IMO,Informed Medical Options Party,McLENNAN,Toni,8,36803,ALP,Labor,McBAIN,Kristy,3,428,47.08
NSW,117,Eden-Monaro,36403,IMO,Informed Medical Options Party,McLENNAN,Toni,8,37193,LP,Liberal,NOCKLES,Jerry,6,481,52.92
NSW,117,Eden-Monaro,37724,IND,Independent,THALER,Andrew,9,36803,ALP,Labor,McBAIN,Kristy,3,1181,57.78
NSW,117,Eden-Monaro,37724,IND,Independent,THALER,Andrew,9,37193,LP,Liberal,NOCKLES,Jerry,6,863,42.22
