SACC code(c),Country of birth(c),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21(d)
3202,Bosnia/Herzegov,40,10,30,30,40,40,-10,30,0,-20,0,40,0,0,-10,0,-80
3203,Bulgaria,20,20,30,10,30,10,20,10,60,50,20,40,10,20,10,10,-30
3204,Croatia,30,-60,-20,-30,-10,-20,40,0,10,-10,20,-10,10,-40,-10,40,-50
3205,Cyprus,-30,-40,-30,-20,-10,20,20,40,50,70,10,-10,20,-10,10,-10,-30
3206,North Macedonia,180,180,140,160,170,180,130,160,100,160,110,130,180,150,120,-200,-80
3207,Greece,0,50,0,-40,10,70,250,990,1100,620,210,340,220,50,-80,50,-240
3208,Moldova,10,10,0,10,10,20,10,20,10,20,10,10,10,0,10,10,0
3211,Romania,110,140,100,80,120,130,70,110,110,120,70,40,50,40,40,40,-50
3212,Slovenia,-10,10,10,10,0,10,20,20,30,20,20,30,20,0,0,0,-20
3214,Montenegro,10,10,20,10,0,10,0,10,10,0,10,0,10,-10,10,10,0
3215,Serbia,70,50,60,70,90,50,50,60,80,100,70,40,70,40,30,20,-40
3216,Kosovo,0,0,0,0,10,10,10,10,10,10,10,10,20,10,0,10,0
3301,Belarus,20,30,10,10,20,20,10,20,10,30,10,20,20,20,20,20,0
3302,Czechia,20,20,30,-10,10,20,30,50,40,50,20,20,20,-10,30,0,-30
3303,Estonia,20,20,30,20,70,70,30,40,110,70,20,30,70,30,0,0,-40
3304,Hungary,10,40,60,50,60,60,40,50,70,40,30,40,30,10,20,20,-40
3305,Latvia,40,20,30,20,40,40,30,40,30,20,20,10,50,0,10,20,-10
3306,Lithuania,20,10,20,30,10,40,50,40,50,20,20,40,20,40,30,20,-10
3307,Poland,160,80,80,50,70,120,90,120,140,40,140,90,160,70,60,100,-140
3308,Russia,210,160,150,170,260,170,220,210,270,180,210,210,230,190,160,200,-100
3311,Slovakia,20,10,20,10,10,10,10,20,40,20,20,10,30,0,-10,0,-20
3312,Ukraine,90,90,80,90,70,90,80,140,150,110,140,100,130,120,100,80,-30
4101,Algeria,10,10,10,0,-10,-10,10,10,10,10,10,20,10,10,0,10,10
4102,Egypt,320,310,340,330,310,310,290,370,440,390,260,330,290,320,270,260,-50
4103,Libya,10,10,30,40,50,80,120,0,-30,-60,-10,20,10,20,10,10,0
4104,Morocco,20,20,10,10,10,20,40,20,30,20,40,20,30,30,30,40,0
4105,Sudan,2010,1330,840,250,260,150,160,110,130,130,110,130,160,100,60,-40,-60
4106,Tunisia,0,0,0,0,0,0,0,0,0,10,10,0,10,10,20,0,0
4107,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4108,Sp North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4111,South Sudan,0,0,0,0,0,0,0,0,20,40,100,90,180,80,30,-10,-10
4201,Bahrain,20,30,20,0,20,10,30,0,20,20,40,20,30,30,30,20,0
4202,Gaza Str/W Bank,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
4203,Iran,280,340,500,410,580,700,890,990,1380,880,760,770,1040,920,1100,940,120
4204,Iraq,620,670,690,640,1050,670,890,670,1190,1340,1090,1000,3030,1170,1440,1720,-70
4205,Israel,180,160,200,260,150,100,60,80,100,90,50,70,190,100,30,210,-150
4206,Jordan,30,20,30,60,50,40,60,40,40,50,50,80,130,60,100,100,20
4207,Kuwait,40,50,40,50,80,110,150,170,110,90,100,80,90,30,40,30,-30
4208,Lebanon,340,300,470,480,350,370,290,380,390,380,330,240,280,350,370,390,90
4211,Oman,20,20,30,30,-10,10,-10,20,10,30,60,110,120,30,20,-130,-70
4212,Qatar,10,10,10,0,10,20,20,30,20,30,30,30,40,80,70,40,10
4213,Saudi Arabia,110,170,360,800,910,420,90,-140,-40,560,380,120,-60,-60,890,-70,-950
4214,Syria,60,50,60,60,80,70,120,160,120,260,560,440,2270,770,530,240,30
4215,Turkey,360,180,160,220,340,260,190,150,20,0,40,200,410,440,370,390,-160
4216,Unit Arab Emir,120,150,190,200,230,140,90,120,80,100,210,320,370,400,430,220,30
