CED_NAME21,Religion,Denomination,Sex,persons
Calare,Judaism,NA,F,43
Calare,Judaism,NA,M,51
Calare,No religion,NA,F,25611
Calare,No religion,NA,M,28607
Chifley,(Other),NA,F,7831
Chifley,(Other),NA,M,7952
Chifley,(Other),(Other),F,473
Chifley,(Other),(Other),M,404
Chifley,(Other),Australian Aboriginal Traditional,F,12
Chifley,(Other),Australian Aboriginal Traditional,M,9
Chifley,(Other),Other spiritual beliefs,F,112
Chifley,(Other),Other spiritual beliefs,M,97
Chifley,(Other),Secular beliefs,F,107
Chifley,(Other),Secular beliefs,M,138
Chifley,(Other),Sikhism,F,3420
Chifley,(Other),Sikhism,M,4223
Chifley,Buddhism,NA,F,1657
Chifley,Buddhism,NA,M,1400
Chifley,Christianity,NA,F,4206
Chifley,Christianity,NA,M,3886
Chifley,Christianity,(Other),F,116
Chifley,Christianity,(Other),M,98
Chifley,Christianity,Anglican,F,7445
Chifley,Christianity,Anglican,M,6367
Chifley,Christianity,Assyrian Apostolic,F,94
Chifley,Christianity,Assyrian Apostolic,M,104
Chifley,Christianity,Baptist,F,1180
Chifley,Christianity,Baptist,M,995
Chifley,Christianity,Brethren,F,17
Chifley,Christianity,Brethren,M,13
Chifley,Christianity,Catholic,F,27764
Chifley,Christianity,Catholic,M,25322
Chifley,Christianity,Churches Of Christ,F,251
Chifley,Christianity,Churches Of Christ,M,245
Chifley,Christianity,Eastern Orthodox,F,1486
Chifley,Christianity,Eastern Orthodox,M,1378
Chifley,Christianity,Jehovah's Witnesses,F,385
Chifley,Christianity,Jehovah's Witnesses,M,287
Chifley,Christianity,Latter Day Saints,F,737
Chifley,Christianity,Latter Day Saints,M,675
Chifley,Christianity,Lutheran,F,83
Chifley,Christianity,Lutheran,M,80
Chifley,Christianity,Oriental Orthodox,F,1254
Chifley,Christianity,Oriental Orthodox,M,1217
Chifley,Christianity,Pentecostal,F,1759
Chifley,Christianity,Pentecostal,M,1602
Chifley,Christianity,Presbyterian Reformed,F,1471
Chifley,Christianity,Presbyterian Reformed,M,1232
Chifley,Christianity,Protestant (Other),F,1162
Chifley,Christianity,Protestant (Other),M,1073
Chifley,Christianity,Salvation Army,F,94
Chifley,Christianity,Salvation Army,M,58
Chifley,Christianity,Seventh Day Adventist,F,645
Chifley,Christianity,Seventh Day Adventist,M,547
Chifley,Christianity,Uniting Church,F,1420
Chifley,Christianity,Uniting Church,M,1295
Chifley,Hinduism,NA,F,10942
Chifley,Hinduism,NA,M,11161
Chifley,Islam,NA,F,9557
Chifley,Islam,NA,M,9898
Chifley,Judaism,NA,F,20
Chifley,Judaism,NA,M,27
Chifley,No religion,NA,F,16251
Chifley,No religion,NA,M,18363
Cook,(Other),NA,F,4083
Cook,(Other),NA,M,4122
Cook,(Other),(Other),F,162
Cook,(Other),(Other),M,125
Cook,(Other),Australian Aboriginal Traditional,F,5
Cook,(Other),Australian Aboriginal Traditional,M,7
Cook,(Other),Other spiritual beliefs,F,154
Cook,(Other),Other spiritual beliefs,M,70
Cook,(Other),Secular beliefs,F,159
Cook,(Other),Secular beliefs,M,200
Cook,(Other),Sikhism,F,62
Cook,(Other),Sikhism,M,74
Cook,Buddhism,NA,F,1385
Cook,Buddhism,NA,M,786
Cook,Christianity,NA,F,1702
Cook,Christianity,NA,M,1504
Cook,Christianity,(Other),F,49
Cook,Christianity,(Other),M,47
Cook,Christianity,Anglican,F,11358
Cook,Christianity,Anglican,M,9368
Cook,Christianity,Assyrian Apostolic,F,11
Cook,Christianity,Assyrian Apostolic,M,18
Cook,Christianity,Baptist,F,914
Cook,Christianity,Baptist,M,782
Cook,Christianity,Brethren,F,3
Cook,Christianity,Brethren,M,0
Cook,Christianity,Catholic,F,21140
Cook,Christianity,Catholic,M,18753
Cook,Christianity,Churches Of Christ,F,43
Cook,Christianity,Churches Of Christ,M,30
Cook,Christianity,Eastern Orthodox,F,7683
Cook,Christianity,Eastern Orthodox,M,7323
Cook,Christianity,Jehovah's Witnesses,F,175
Cook,Christianity,Jehovah's Witnesses,M,132
Cook,Christianity,Latter Day Saints,F,44
Cook,Christianity,Latter Day Saints,M,51
Cook,Christianity,Lutheran,F,138
Cook,Christianity,Lutheran,M,103
Cook,Christianity,Oriental Orthodox,F,768
Cook,Christianity,Oriental Orthodox,M,795
Cook,Christianity,Pentecostal,F,684
Cook,Christianity,Pentecostal,M,566
Cook,Christianity,Presbyterian Reformed,F,1193
Cook,Christianity,Presbyterian Reformed,M,989
Cook,Christianity,Protestant (Other),F,253
Cook,Christianity,Protestant (Other),M,205
Cook,Christianity,Salvation Army,F,93
Cook,Christianity,Salvation Army,M,54
Cook,Christianity,Seventh Day Adventist,F,36
Cook,Christianity,Seventh Day Adventist,M,23
Cook,Christianity,Uniting Church,F,1585
Cook,Christianity,Uniting Church,M,1144
Cook,Hinduism,NA,F,503
Cook,Hinduism,NA,M,494
Cook,Islam,NA,F,1325
Cook,Islam,NA,M,1337
Cook,Judaism,NA,F,158
Cook,Judaism,NA,M,150
Cook,No religion,NA,F,20951
Cook,No religion,NA,M,23393
Cowper,(Other),NA,F,6973
Cowper,(Other),NA,M,7710
Cowper,(Other),(Other),F,642
Cowper,(Other),(Other),M,463
Cowper,(Other),Australian Aboriginal Traditional,F,55
Cowper,(Other),Australian Aboriginal Traditional,M,47
Cowper,(Other),Other spiritual beliefs,F,286
Cowper,(Other),Other spiritual beliefs,M,160
Cowper,(Other),Secular beliefs,F,205
Cowper,(Other),Secular beliefs,M,296
Cowper,(Other),Sikhism,F,286
Cowper,(Other),Sikhism,M,335
Cowper,Buddhism,NA,F,897
Cowper,Buddhism,NA,M,625
Cowper,Christianity,NA,F,2235
Cowper,Christianity,NA,M,1775
Cowper,Christianity,(Other),F,60
Cowper,Christianity,(Other),M,50
Cowper,Christianity,Anglican,F,15100
Cowper,Christianity,Anglican,M,12475
Cowper,Christianity,Assyrian Apostolic,F,0
