Year,StateAb,DivisionNm,PartyAb,OrdinaryVotes,Percentage
2007,QLD,Bowman,COAL,31135,45.867032011903184
2007,QLD,Bowman,GRN,3734,5.500802875620571
2007,QLD,Bowman,Other,532,0.783724458979685
2007,QLD,Bowman,Other Right,2355,3.469306580633756
2007,QLD,Brisbane,ALP,29765,45.38177715435751
2007,QLD,Brisbane,COAL,25656,39.116911630176254
2007,QLD,Brisbane,GRN,7727,11.781118497286089
2007,QLD,Brisbane,Other,1067,1.6268219796304202
2007,QLD,Brisbane,Other Left,447,0.68152710861743
2007,QLD,Brisbane,Other Right,926,1.4118436299323047
2007,QLD,Capricornia,ALP,38641,56.441529607665565
2007,QLD,Capricornia,COAL,24593,35.92211737898396
2007,QLD,Capricornia,GRN,2042,2.982676521281879
2007,QLD,Capricornia,Other,1996,2.9154859630159797
2007,QLD,Capricornia,Other Right,1190,1.7381905290526132
2007,QLD,Dawson,ALP,31523,48.456666769145635
2007,QLD,Dawson,COAL,27540,42.3340609339933
2007,QLD,Dawson,GRN,2765,4.250315122821041
2007,QLD,Dawson,Other,1316,2.0229347926338117
2007,QLD,Dawson,Other Right,1910,2.9360223814062163
2007,QLD,Dickson,ALP,30214,44.19060434095829
2007,QLD,Dickson,COAL,31315,45.800912654302934
2007,QLD,Dickson,GRN,4073,5.957116948458434
2007,QLD,Dickson,Other,843,1.2329608611712397
2007,QLD,Dickson,Other Right,1927,2.818405195109109
2007,QLD,Fadden,ALP,22650,33.96209440412643
2007,QLD,Fadden,COAL,37570,56.33359323457086
2007,QLD,Fadden,GRN,2910,4.363341930066575
2007,QLD,Fadden,Other,1633,2.4485695435734423
2007,QLD,Fadden,Other Right,1929,2.892400887662688
2007,QLD,Fairfax,ALP,24098,37.02941086081318
2007,QLD,Fairfax,COAL,30022,46.13233350748333
2007,QLD,Fairfax,GRN,5642,8.669596484218937
2007,QLD,Fairfax,Other,1931,2.9672085804726636
2007,QLD,Fairfax,Other Right,3385,5.201450567011894
2007,QLD,Fisher,ALP,21694,34.12186605429551
2007,QLD,Fisher,COAL,27564,43.35461952247633
2007,QLD,Fisher,GRN,3545,5.575828116644122
2007,QLD,Fisher,Other,9396,14.77869703356507
2007,QLD,Fisher,Other Right,1379,2.168989273018969
